,open,close,high,low,volume,money
2005-01-04,1.53,1.51,1.53,1.5,7594032.0,11465603.0
2005-01-05,1.51,1.5,1.52,1.47,13896309.0,20718559.0
2005-01-06,1.51,1.51,1.53,1.5,11499579.0,17333840.0
2005-01-07,1.53,1.51,1.53,1.5,8134502.0,12302853.0
2005-01-10,1.51,1.53,1.53,1.48,11351401.0,17111498.0
2005-01-11,1.53,1.53,1.53,1.53,0.0,0.0
2005-01-12,1.53,1.51,1.53,1.5,7067174.0,10672635.0
2005-01-13,1.51,1.52,1.53,1.51,6903742.0,10504590.0
2005-01-14,1.53,1.51,1.53,1.5,6920976.0,10476658.0
2005-01-17,1.5,1.45,1.5,1.44,13677493.0,20039971.0
2005-01-18,1.45,1.44,1.46,1.43,11177731.0,16109620.0
2005-01-19,1.44,1.43,1.45,1.43,7268687.0,10416563.0
2005-01-20,1.43,1.39,1.43,1.39,17030792.0,23815009.0
2005-01-21,1.39,1.49,1.51,1.36,43290822.0,62408193.0
2005-01-24,1.53,1.5,1.54,1.48,27853351.0,41761044.0
2005-01-25,1.5,1.46,1.5,1.45,15095423.0,22142394.0
2005-01-26,1.46,1.46,1.5,1.45,10943851.0,16124242.0
2005-01-27,1.46,1.42,1.46,1.42,10889764.0,15671762.0
2005-01-28,1.42,1.43,1.43,1.4,10054225.0,14212959.0
2005-01-31,1.43,1.41,1.43,1.4,8012300.0,11288374.0
2005-02-01,1.41,1.41,1.44,1.41,9172297.0,13006364.0
2005-02-02,1.41,1.48,1.49,1.41,24568271.0,35957947.0
2005-02-03,1.48,1.46,1.49,1.46,17858159.0,26337392.0
2005-02-04,1.46,1.53,1.56,1.45,38461005.0,58460211.0
2005-02-16,1.53,1.53,1.55,1.51,18250270.0,27970435.0
2005-02-17,1.53,1.52,1.54,1.51,13058975.0,19839010.0
2005-02-18,1.53,1.53,1.55,1.52,17098467.0,26213869.0
2005-02-21,1.54,1.56,1.57,1.54,27864094.0,43335847.0
2005-02-22,1.56,1.56,1.57,1.53,33823071.0,52460968.0
2005-02-23,1.56,1.55,1.57,1.53,22080762.0,34215337.0
2005-02-24,1.55,1.54,1.55,1.52,21508705.0,32969255.0
2005-02-25,1.54,1.54,1.57,1.54,24401113.0,37865716.0
2005-02-28,1.54,1.5,1.54,1.49,22248532.0,33546810.0
2005-03-01,1.5,1.48,1.51,1.48,14506784.0,21592546.0
2005-03-02,1.48,1.48,1.5,1.47,13282622.0,19739123.0
2005-03-03,1.48,1.49,1.5,1.47,7676596.0,11399016.0
2005-03-04,1.49,1.47,1.49,1.47,9385062.0,13861124.0
2005-03-07,1.47,1.45,1.48,1.44,13686162.0,19970363.0
2005-03-08,1.48,1.47,1.48,1.45,19674431.0,28709799.0
2005-03-09,1.47,1.46,1.48,1.45,18786858.0,27405674.0
2005-03-10,1.46,1.43,1.46,1.42,17745242.0,25487681.0
2005-03-11,1.41,1.42,1.43,1.41,15640244.0,22164102.0
2005-03-14,1.42,1.41,1.43,1.4,15928482.0,22469620.0
2005-03-15,1.41,1.39,1.43,1.38,18686897.0,26068269.0
2005-03-16,1.39,1.37,1.39,1.37,13804823.0,19019884.0
2005-03-17,1.38,1.38,1.4,1.37,12398865.0,17202351.0
2005-03-18,1.39,1.37,1.4,1.37,13848347.0,19121018.0
