,open,close,low,high,volume,money,high_limit,low_limit,avg,label
2005-02-01,1189.5,1188.93,1187.26,1203.07,934022200.0,4907930781.0,1311.01,1072.64,1195.248,1252.5
2005-02-02,1189.5,1252.5,1189.5,1253.16,1905406200.0,10397266956.0,1307.82,1070.04,1228.885,1242.31
2005-02-03,1253.81,1242.31,1236.18,1269.15,2041522500.0,10897290873.0,1377.75,1127.25,1251.504,1269.0
2005-02-04,1238.61,1269.0,1235.64,1274.12,1702829300.0,9664344703.0,1366.54,1118.08,1257.54,1278.88
2005-02-16,1276.02,1278.88,1270.32,1291.46,1444545500.0,7980113925.0,1395.9,1142.1,1282.972,1276.13
2005-02-17,1280.03,1276.13,1263.71,1280.03,1121861200.0,6103111134.0,1406.77,1150.99,1269.93,1258.97
2005-02-18,1275.66,1258.97,1258.56,1278.62,1068805000.0,5785501661.0,1403.75,1148.52,1268.425,1284.48
2005-02-21,1259.53,1284.48,1259.51,1284.94,1253692200.0,6930691886.0,1384.87,1133.07,1274.756,1309.28
2005-02-22,1285.63,1309.28,1282.78,1312.53,2260281500.0,12773513576.0,1412.93,1156.03,1299.706,1309.47
2005-02-23,1309.62,1309.47,1299.15,1316.59,2418912700.0,13699232367.0,1440.2,1178.35,1307.46,1309.95
2005-02-24,1307.04,1309.95,1296.98,1310.97,2011581500.0,11356347739.0,1440.42,1178.53,1304.107,1312.44
2005-02-25,1311.37,1312.44,1311.2,1328.53,2406961000.0,13978978564.0,1440.94,1178.95,1319.949,1306.0
2005-02-28,1311.44,1306.0,1298.93,1315.14,1765143200.0,10244600541.0,1443.69,1181.2,1308.229,1303.41
2005-03-01,1305.25,1303.41,1295.64,1308.76,1398095200.0,7981055197.0,1436.6,1175.4,1301.262,1287.45
2005-03-02,1303.31,1287.45,1285.92,1316.72,1862863500.0,10749393259.0,1433.75,1173.07,1300.23,1294.34
2005-03-03,1285.2,1294.34,1276.88,1295.25,1282360900.0,6981237940.0,1416.2,1158.71,1285.08,1287.71
2005-03-04,1294.16,1287.71,1286.48,1299.6,1104995800.0,6269241707.0,1423.77,1164.91,1292.224,1293.74
2005-03-07,1288.41,1293.74,1287.74,1296.88,1076224600.0,6283006027.0,1416.49,1158.94,1292.311,1318.27
2005-03-08,1298.25,1318.27,1296.91,1318.89,1798439800.0,11159503108.0,1423.11,1164.37,1308.678,1316.79
2005-03-09,1321.21,1316.79,1310.23,1326.08,2056718700.0,12224773496.0,1450.1,1186.44,1318.144,1286.23
2005-03-10,1316.9,1286.23,1282.53,1316.9,1789766900.0,10537289289.0,1448.47,1185.11,1299.095,1289.94
2005-03-11,1284.51,1289.94,1278.15,1292.53,1499671400.0,9039329495.0,1414.86,1157.61,1286.577,1293.5
2005-03-14,1288.98,1293.5,1271.51,1304.11,1869250200.0,11968377523.0,1418.94,1160.95,1288.319,1269.14
2005-03-15,1293.13,1269.14,1266.64,1293.26,1564271900.0,9678243152.0,1422.85,1164.15,1277.881,1255.59
2005-03-16,1267.05,1255.59,1247.89,1268.19,1366337300.0,8330513791.0,1396.06,1142.23,1257.863,1243.47
2005-03-17,1255.98,1243.47,1242.51,1257.79,1289554300.0,7813701046.0,1381.15,1130.03,1249.913,1227.4
2005-03-18,1242.45,1227.4,1223.62,1248.03,1245243200.0,7341657941.0,1367.82,1119.13,1234.891,1231.05
2005-03-21,1226.14,1231.05,1220.82,1232.82,996368700.0,5815375653.0,1350.14,1104.66,1227.845,1206.92
2005-03-22,1230.68,1206.92,1202.43,1231.68,1465330900.0,8148375027.0,1354.15,1107.94,1212.31,1201.65
2005-03-23,1205.76,1201.65,1194.32,1218.01,1344060500.0,7851213142.0,1327.61,1086.23,1205.512,1208.19
2005-03-24,1200.26,1208.19,1187.58,1208.61,1147719000.0,6700150732.0,1321.81,1081.48,1197.821,1205.63
2005-03-25,1207.2,1205.63,1199.87,1211.16,952758900.0,5076361282.0,1329.01,1087.37,1205.548,1200.11
2005-03-28,1204.85,1200.11,1185.46,1204.85,902323300.0,4909951020.0,1326.2,1085.07,1193.033,1195.02
